date,open,high,low,close,volume
2018-09-30,238.19,235.22,240.98,234.95,266450
2018-09-27,236.09,237.49,238.36,234.95,190580
2018-09-26,237.4,237.58,239.32,236.7,135920
2018-09-25,236.79,234.08,237.66,233.12,252360
2018-09-24,233.82,234.17,234.95,233.3,154920
2018-09-23,234.08,232.95,234.52,232.42,298750
2018-09-20,232.77,234.95,234.95,232.33,310930
2018-09-19,232.86,235.83,237.49,232.33,333680
2018-09-18,236,237.58,237.58,235.39,188360
2018-09-17,235.92,238.36,238.36,235.39,220220
2018-09-16,237.05,235.83,238.27,234.78,183760
2018-09-13,235.92,238.1,239.15,234.61,443350
2018-09-12,237.66,236.7,238.71,235.83,373060
2018-09-11,236.44,239.32,239.32,235.92,273410
2018-09-10,237.92,240.2,240.2,237.49,370760
2018-09-09,239.85,240.28,241.07,239.23,250720
2018-09-06,240.28,242.12,243.25,239.76,433010
2018-09-05,241.94,242.82,243.51,241.16,311440
2018-09-04,242.55,244.21,244.3,242.03,375680
2018-09-03,243.6,244.48,244.56,242.82,254190
2018-08-30,242.29,242.82,244.74,241.94,486930
2018-08-29,242.12,242.12,244.13,240.63,658430
2018-08-28,242.03,243.43,243.6,241.33,271880
2018-08-27,242.55,243.34,245,242.2,265350
2018-08-26,243.34,242.38,244.56,241.07,145910
2018-08-20,241.24,241.33,245.35,240.46,229560
2018-08-19,241.42,239.23,241.94,238.8,139260
2018-08-16,238.45,239.32,240.98,238.27,381040
2018-08-14,239.5,234.87,240.37,233.38,218790
2018-08-13,232.77,235.83,237.14,232.33,441130
2018-08-12,235.74,238.36,239.15,234.95,254770
2018-08-09,239.23,240.2,240.72,238.89,172200
2018-08-08,240.89,240.81,242.99,240.2,170830
2018-08-07,240.81,237.58,241.77,237.58,145800
2018-08-06,237.92,235.83,239.32,235.3,218970
2018-08-05,235.83,238.36,238.36,234.95,116800
2018-08-02,238.36,237.31,240.28,236.7,229390
2018-08-01,237.31,234.08,238.45,234.08,241450
2018-07-31,233.73,231.46,236,231.02,258560
2018-07-30,230.76,232.51,233.12,229.71,377350
2018-07-29,232.51,236.61,236.61,232.07,565780
2018-07-26,235.65,238.45,238.45,234.95,397770
2018-07-25,236.79,238.45,240.2,235.74,555400
2018-07-24,238.45,237.58,239.93,237.58,451480
2018-07-23,239.15,241.07,241.94,238.36,650250
2018-07-22,240.37,243.95,244.48,240.02,658160
2018-07-19,243.08,244.56,245.44,242.82,355630
2018-07-18,243.6,243.51,244.56,241.51,216980
2018-07-17,241.59,246.13,246.22,241.07,787050
2018-07-16,245.44,246.31,248.06,244.56,281900
2018-07-15,246.05,247.1,248.67,245.17,285170
2018-07-12,246.22,248.93,249.63,245.52,287750
2018-07-11,247.88,249.02,252.25,246.31,333390
2018-07-10,248.58,248.49,250.68,248.41,258600
2018-07-09,248.93,249.8,251.46,248.32,399710
2018-07-08,249.1,247.79,249.63,247.71,288920
2018-07-05,248.41,247.97,250.24,246.31,307650
2018-07-04,247.97,250.59,250.59,247.36,212600
2018-07-03,247.44,250.68,251.55,247.01,144310
2018-07-02,248.67,256.79,256.79,248.23,651150
2018-06-28,256,255.92,257.66,252.42,573360
2018-06-27,254.78,255.39,257.66,253.3,591020
2018-06-26,254.69,255.31,256.79,253.73,277170
2018-06-25,255.31,256.53,258.54,255.04,279910
2018-06-24,256.53,250.76,261.16,250.76,422380
2018-06-21,250.68,248.93,251.81,248.93,443380
2018-06-20,247.62,249.72,249.8,246.4,504310
2018-06-19,248.58,249.28,250.68,246.75,485680
2018-06-18,249.02,249.89,250.07,248.58,332350
2018-06-12,249.63,248.76,250.5,247.18,461450
2018-06-11,246.31,245.26,247.97,245.26,816810
2018-06-10,244.48,248.84,248.84,243.6,266130
2018-06-07,247.97,251.29,251.29,247.1,349150
2018-06-06,248.84,257.58,257.58,248.41,480570
2018-06-05,253.21,248.23,253.3,248.23,500270
2018-06-04,248.23,244.21,248.93,240.54,519180
2018-06-03,241.68,246.66,246.66,240.28,525450
2018-05-31,246.48,250.24,250.24,245,647040
2018-05-30,250.24,251.9,254,249.28,258760
2018-05-29,251.9,257.23,257.23,251.11,337220
2018-05-28,255.04,258.54,259.76,254.61,319200
2018-05-27,257.93,255.04,260.28,255.04,143880
2018-05-24,254.96,253.47,255.04,252.07,191180
2018-05-23,253.82,256.35,256.35,253.03,344420
2018-05-22,256.27,258.01,260.98,255.74,290770
2018-05-21,257.49,256.79,266.4,256.27,441040
2018-05-20,256.88,259.41,261.86,255.48,392910
2018-05-17,258.97,264.56,265.26,258.1,350380
2018-05-16,262.12,263.78,265.96,260.63,455870
2018-05-15,264.3,263.95,265.18,263.87,181940
2018-05-14,263.87,263.78,264.56,262.73,195310
2018-05-13,263.87,266.31,266.31,262.9,244240
2018-05-10,263.95,266.22,266.22,261.94,347390
2018-05-09,264.74,262.99,265.26,262.03,470280
2018-05-08,262.38,265.09,265.53,261.16,729790
