datetime,open,high,low,close,volume,openinterest
2015-12-28 00:00:00,742.99,741.2,745.98,738.33,32710,0
2015-12-27 00:00:00,739.17,738.81,740.6,738.51,28390,0
2015-12-24 00:00:00,740.6,743.29,743.29,739.41,11100,0
2015-12-23 00:00:00,741.14,742.1,743.59,738.21,8900,0
2015-12-21 00:00:00,738.27,732.53,740.6,732.47,6550,0
2015-12-20 00:00:00,735.04,732.29,739.11,732.23,3050,0
2015-12-17 00:00:00,731.87,738.03,738.03,729.24,10440,0
2015-12-15 00:00:00,736.18,741.2,741.2,735.16,9740,0
2015-12-14 00:00:00,741.08,736.66,744.01,736.42,64840,0
2015-12-13 00:00:00,738.57,148.18,745.92,731.04,12890,0
2015-12-10 00:00:00,741.68,0.6,744.79,737.13,23900,0
2015-12-09 00:00:00,740.78,734.62,742.69,734.62,4220,0
2015-12-08 00:00:00,741.62,0.6,743.59,737.02,19560,0
2015-12-07 00:00:00,737.08,743.59,745.86,732.29,30970,0
2015-12-06 00:00:00,740.9,740.9,742.4,735.82,14620,0
2015-12-03 00:00:00,742.28,0.6,747.18,740.06,14600,0
2015-12-02 00:00:00,747.06,751.36,751.36,744.19,18640,0
2015-12-01 00:00:00,746.34,746.34,752.38,737.61,46660,0
2015-11-30 00:00:00,741.62,741.2,743.59,725.06,31390,0
2015-11-29 00:00:00,731.22,0.6,732.23,731.04,19940,0
2015-11-26 00:00:00,730.2,0.6,734.62,729.24,16340,0
2015-11-25 00:00:00,729.42,0.6,732.23,724.28,11190,0
2015-11-24 00:00:00,728.53,738.21,738.21,727.57,9220,0
2015-11-23 00:00:00,738.63,726.26,744.19,732.23,7690,0
2015-11-22 00:00:00,730.92,726.26,732.23,723.27,12970,0
2015-11-19 00:00:00,725.18,720.94,726.79,720.88,23480,0
2015-11-18 00:00:00,723.39,733.37,733.37,723.27,8320,0
2015-11-17 00:00:00,727.69,724.46,732.23,724.16,8020,0
2015-11-16 00:00:00,727.81,721.47,729.24,721.47,7560,0
2015-11-15 00:00:00,727.69,724.46,731.64,722.13,7020,0
2015-11-12 00:00:00,723.63,723.27,726.26,721.47,10680,0
2015-11-11 00:00:00,723.51,719.08,725.48,719.08,8560,0
2015-11-10 00:00:00,718.9,720.28,720.28,717.35,12490,0
2015-11-09 00:00:00,718.37,718.49,720.1,717.41,18510,0
2015-11-08 00:00:00,717.65,720.4,722.67,717.29,17010,0
2015-11-05 00:00:00,718.55,731.58,731.58,717.29,11590,0
2015-11-04 00:00:00,724.28,730.38,730.38,719.98,19860,0
2015-11-03 00:00:00,721.83,725.48,725.48,718.49,10170,0
2015-11-02 00:00:00,718.43,722.43,725.66,716.81,12620,0
2015-11-01 00:00:00,721.12,721.29,728.59,720.28,10050,0
2015-10-29 00:00:00,722.01,723.92,724.04,719.92,12540,0
2015-10-28 00:00:00,727.15,726.26,729.24,723.33,9900,0
2015-10-27 00:00:00,725.06,725.24,730.92,725.06,16980,0
2015-10-26 00:00:00,726.97,723.27,728.53,722.07,8640,0
2015-10-25 00:00:00,724.46,731.4,731.4,719.68,13700,0
2015-10-21 00:00:00,720.64,726.26,733.13,720.28,19380,0
2015-10-20 00:00:00,723.51,729.24,753.15,721.18,31590,0
2015-10-19 00:00:00,718.25,725.24,726.26,717.89,17150,0
2015-10-18 00:00:00,721.71,720.28,727.75,717.89,32320,0
2015-10-15 00:00:00,721.77,721.47,733.43,718.25,27320,0
2015-10-14 00:00:00,722.55,740.6,740.6,720.88,35250,0
2015-10-13 00:00:00,727.99,732.23,735.04,726.26,14230,0
2015-10-12 00:00:00,731.46,735.22,736.78,728.35,13100,0
2015-10-11 00:00:00,732.89,745.08,745.08,729.24,8830,0
2015-10-08 00:00:00,728.59,741.2,741.2,723.27,31950,0
2015-10-07 00:00:00,738.81,737.08,742.69,736.48,21260,0
2015-10-06 00:00:00,739.88,741.5,742.69,737.02,19330,0
2015-10-05 00:00:00,741.92,745.98,747.48,740,18730,0
2015-10-04 00:00:00,745.68,748.91,748.91,745.03,31360,0
2015-10-01 00:00:00,747.06,750.76,750.76,746.22,27780,0
2015-09-30 00:00:00,747.24,750.76,752.98,747.06,49630,0
2015-09-29 00:00:00,749.93,749.57,753.15,747.24,36890,0
2015-09-28 00:00:00,747.54,749.27,749.27,744.19,15200,0
2015-09-22 00:00:00,744.67,745.98,746.28,742.16,30870,0
2015-09-21 00:00:00,742.57,746.28,753.15,741.02,38100,0
2015-09-20 00:00:00,744.73,750.17,754.29,741.98,36020,0
2015-09-17 00:00:00,747.83,756.02,756.02,747.18,20160,0
2015-09-16 00:00:00,750.94,756.08,760.93,747.24,23840,0
2015-09-15 00:00:00,755.66,741.8,765.95,741.8,36720,0
2015-09-14 00:00:00,760.15,750.17,765.71,744.19,111340,0
2015-09-13 00:00:00,739.71,738.21,748.37,735.22,47700,0
2015-09-10 00:00:00,731.04,731.64,741.8,729.42,30020,0
2015-09-09 00:00:00,745.62,728.05,748.37,728.05,34780,0
2015-09-08 00:00:00,740.9,744.79,744.79,735.22,8380,0
2015-09-07 00:00:00,744.67,753.15,753.15,741.5,17970,0
2015-09-06 00:00:00,741.38,722.07,744.19,722.01,44860,0
2015-09-03 00:00:00,720.64,722.97,722.97,718.55,16470,0
2015-09-02 00:00:00,720.28,723.27,723.27,717.29,10380,0
2015-09-01 00:00:00,722.01,722.07,726.2,721.18,11060,0
2015-08-31 00:00:00,723.87,723.27,726.08,720.88,5820,0
2015-08-30 00:00:00,722.07,724.52,727.45,720.34,10380,0
2015-08-27 00:00:00,722.79,717.29,725.6,717.29,4450,0
2015-08-26 00:00:00,716.75,717.95,720.88,714.9,28730,0
2015-08-25 00:00:00,721.65,720.94,726.26,720.34,7740,0
2015-08-24 00:00:00,724.94,723.27,728.11,722.07,10250,0
2015-08-23 00:00:00,723.92,729.19,729.19,722.67,8040,0
2015-08-20 00:00:00,726.2,735.82,735.82,723.33,20640,0
2015-08-19 00:00:00,738.69,721.47,744.19,717.29,25410,0
